sno,brand,model,reference,year,serial_number,price_usd,dial_color,case_material,case_diameter,movement_type,bracelet_color,bracelet_material,water_resistance,power_reserve,description,product_image_url,
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0028",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0027",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0014",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0033",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0011",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0018",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0015",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0038",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0003",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0015",
169,Rolex,Datejust 41,126334,2026,,17100,Green,Steel Steel,41 ,Automatic,Steel,Steel Steel,,70,,"https://media.rolex.com/image/upload/q_auto/f_auto/t_v7-cover-majesty-landscape/c_limit,w_1920/v1/a677b2c664f6/catalogue/2026/upright-c/m126334-0012",
